Feature Set,Classifier,Accuracy,Precision,Recall,F1-Score,ROC-AUC
TF-IDF,SVM (LinearSVC),0.838,0.7644,0.4892,0.5966,0.8554
TF-IDF,Logistic Regression,0.8339,0.7895,0.4383,0.5636,0.8609
TF-IDF,Random Forest,0.8175,0.681,0.4788,0.5623,0.8333
TF-IDF+VADER+NRC,SVM (LinearSVC),0.8385,0.7682,0.4873,0.5963,0.8563
TF-IDF+VADER+NRC,Logistic Regression,0.8373,0.7987,0.4486,0.5745,0.8626
TF-IDF+VADER+NRC,Random Forest,0.8163,0.7107,0.4213,0.529,0.8316
Word2Vec,SVM (LinearSVC),0.8152,0.7453,0.3723,0.4965,0.8007
Word2Vec,Logistic Regression,0.812,0.733,0.3648,0.4871,0.7948
Word2Vec,Random Forest,0.8046,0.6826,0.377,0.4857,0.7887
Word2Vec+VADER+NRC,SVM (LinearSVC),0.8203,0.7527,0.3959,0.5188,0.809
Word2Vec+VADER+NRC,Logistic Regression,0.8191,0.7551,0.3864,0.5112,0.8039
Word2Vec+VADER+NRC,Random Forest,0.8064,0.6996,0.3666,0.4811,0.7908
